g13806.t1.pdb,28,29,4,14,36,16,0
g1087.t1.pdb,86,88,7,45,93,49,97
g13435.t1.pdb,45,45,9,77,57,19,0
g9602.t1.pdb,57,49,16,271,81,36,37
g1806.t1.pdb,29,29,4,17,41,20,0
g6648.t2.pdb,72,76,11,122,85,44,63
g8354.t2.pdb,38,38,7,45,54,26,0
g3031.t1.pdb,33,33,7,43,46,9,0
g4606.t1.pdb,65,70,17,275,86,28,51
g4596.t1.pdb,65,62,16,252,97,32,29
g7070.t1.pdb,83,85,9,87,98,57,88
g9591.t1.pdb,41,41,5,22,50,14,0
g2118.t1.pdb,33,30,8,66,58,17,0
g3597.t1.pdb,77,79,6,39,88,53,86
g8108.t1.pdb,76,70,18,318,98,35,50
g8003.t2.pdb,89,93,10,110,99,51,92
g8106.t1.pdb,57,52,20,394,89,28,38
g7007.t1.pdb,40,40,9,87,60,25,0
g13467.t1.pdb,29,28,4,17,42,17,0
g2607.t2.pdb,68,64,18,316,95,27,43
g6105.t2.pdb,35,34,7,47,50,21,0
g4669.t1.pdb,56,52,11,116,85,40,12
g6335.t1.pdb,83,90,17,305,98,20,81
g2399.t1.pdb,37,35,7,43,54,26,0
g9549.t1.pdb,91,95,10,98,99,48,94
g4329.t1.pdb,35,35,5,25,46,18,0
g10918.t1.pdb,96,98,4,18,99,67,99
g13916.t1.pdb,41,41,9,73,58,16,0
g10828.t1.pdb,52,52,5,25,70,40,0
g13345.t1.pdb,79,86,16,259,98,43,65
g13797.t1.pdb,56,54,14,189,86,28,19
g8501.t1.pdb,59,58,13,165,82,34,30
g14339.t1.pdb,42,42,8,69,60,22,0
g4620.t1.pdb,63,70,17,277,84,27,49
g11903.t1.pdb,41,42,4,17,52,28,0
g8867.t1.pdb,91,94,9,87,99,44,96
g1052.t1.pdb,95,96,6,38,99,51,99
g13563.t1.pdb,33,33,4,16,43,21,0
g8271.t1.pdb,74,83,19,365,97,17,58
g13000.t1.pdb,37,36,7,55,54,17,0
g5638.t1.pdb,62,62,16,252,87,28,36
g13864.t2.pdb,35,34,3,11,46,26,0
g8168.t1.pdb,37,37,5,28,48,27,0
g3533.t1.pdb,83,88,15,211,98,38,79
g8805.t1.pdb,32,30,6,38,49,19,0
g13060.t1.pdb,68,74,14,189,84,21,65
g3244.t1.pdb,87,91,11,116,98,51,88
g13671.t1.pdb,37,34,8,67,53,17,0
g13560.t1.pdb,32,31,5,27,46,23,0
g3957.t1.pdb,59,59,12,141,79,18,23
g11473.t1.pdb,86,88,10,91,98,50,95
g13550.t1.pdb,71,75,11,114,82,42,69
g9839.t1.pdb,38,37,7,46,52,26,0
g1168.t1.pdb,58,47,24,581,95,26,39
g11129.t1.pdb,61,55,16,259,97,34,19
