g2458.t1.pdb,52,51,18,311,90,15,16
g10333.t1.pdb,54,56,21,454,93,20,25
g11803.t1.pdb,90,94,9,81,99,52,95
g14127.t1.pdb,46,46,7,43,58,32,0
g18336.t1.pdb,41,40,7,51,55,17,0
g5902.t1.pdb,85,89,12,156,98,42,87
g64.t2.pdb,71,74,15,217,92,36,57
g2154.t1.pdb,78,85,17,292,98,27,66
g22907.t1.pdb,37,35,8,58,71,22,1
g18595.t1.pdb,37,33,9,86,65,24,0
g2833.t1.pdb,74,79,16,252,94,31,70
g10169.t1.pdb,39,35,9,88,64,23,0
g18580.t1.pdb,32,30,7,43,48,20,0
g22542.t1.pdb,93,95,7,47,99,61,98
g76.t1.pdb,64,67,14,210,86,35,42
g8711.t1.pdb,91,95,12,135,98,45,91
g18232.t1.pdb,38,38,6,37,52,18,0
g11317.t1.pdb,32,31,5,29,47,18,0
g22650.t1.pdb,56,56,17,306,92,15,23
g19120.t1.pdb,57,60,6,40,66,46,0
g8209.t1.pdb,35,34,6,35,45,20,0
g6863.t1.pdb,93,95,6,37,99,48,99
g14865.t1.pdb,61,62,7,54,74,41,8
g4245.t2.pdb,76,71,13,157,98,47,54
g4946.t1.pdb,49,48,6,40,71,37,1
g12168.t2.pdb,66,71,20,408,94,22,51
g4295.t1.pdb,52,50,8,66,71,39,1
g98.t1.pdb,73,77,17,302,97,36,64
g14575.t1.pdb,74,81,17,301,97,36,65
g4751.t1.pdb,54,55,16,270,83,18,22
g11630.t1.pdb,90,95,11,116,99,56,90
g18236.t1.pdb,92,95,9,78,99,55,95
g23782.t2.pdb,69,72,16,255,96,34,54
g20281.t1.pdb,71,78,14,206,88,43,62
g4334.t1.pdb,80,87,18,317,99,34,75
g14704.t1.pdb,73,80,21,427,98,15,64
g3285.t1.pdb,53,54,18,313,81,23,23
g6491.t1.pdb,74,78,16,243,96,38,65
g10515.t1.pdb,63,63,14,189,83,23,33
g9410.t3.pdb,91,94,7,51,99,68,99
g23412.t1.pdb,82,87,16,250,99,28,74
g4305.t1.pdb,55,51,13,170,93,36,17
g16290.t1.pdb,76,78,15,215,97,38,66
g19053.t1.pdb,62,62,15,223,92,19,32
g7070.t1.pdb,39,39,5,23,52,29,0
g1065.t1.pdb,35,29,13,162,70,16,0
g19641.t1.pdb,46,49,8,63,58,27,0
g20387.t2.pdb,92,96,10,96,99,36,96
g19970.t1.pdb,88,92,10,94,98,48,93
g14026.t1.pdb,73,71,13,171,95,47,52
g13260.t1.pdb,74,76,13,177,96,33,70
g679.t1.pdb,58,58,10,106,80,27,12
g2429.t1.pdb,73,77,14,197,93,36,71
g22780.t1.pdb,56,54,17,302,91,21,25
g1262.t1.pdb,92,95,8,59,99,62,96
g16181.t1.pdb,73,82,17,285,93,46,62
g2010.t2.pdb,50,51,19,350,87,18,21
g8108.t1.pdb,62,66,10,101,75,41,29
g12298.t1.pdb,30,28,7,55,53,12,0
g1217.t1.pdb,64,57,17,276,88,40,42
g3548.t1.pdb,84,87,12,149,98,41,89
g9795.t1.pdb,46,47,5,23,54,35,0
g6314.t1.pdb,83,85,10,109,98,52,88
g3812.t1.pdb,47,45,12,140,69,26,0
g20829.t3.pdb,71,73,15,238,95,32,54
g15472.t1.pdb,52,51,15,236,82,17,18
g15626.t1.pdb,84,88,14,185,99,31,89
g22322.t1.pdb,35,35,6,37,47,10,0
g21211.t1.pdb,86,90,10,101,95,39,91
g15320.t1.pdb,50,50,4,19,68,40,0
g11639.t1.pdb,55,57,17,277,86,25,25
g6159.t1.pdb,39,38,6,33,52,26,0
g23519.t1.pdb,37,36,7,46,52,20,0
g14749.t2.pdb,63,59,16,241,94,30,28
g21612.t1.pdb,49,49,11,116,70,33,0
g10203.t2.pdb,61,65,14,200,81,35,40
g6125.t1.pdb,40,39,10,95,65,14,0
g23750.t1.pdb,70,70,14,207,93,41,50
g3817.t1.pdb,45,42,14,187,77,8,7
g23807.t1.pdb,65,67,13,179,86,39,44
g6787.t1.pdb,57,58,11,115,73,29,15
g17102.t1.pdb,36,32,11,112,65,19,0
g16224.t1.pdb,50,45,11,122,73,34,5
g2287.t1.pdb,90,95,10,109,99,63,91
g3000.t1.pdb,40,34,18,316,89,11,11
g4928.t1.pdb,49,46,7,56,67,40,0
g11890.t2.pdb,39,38,7,50,58,24,0
g13853.t1.pdb,62,65,19,366,88,31,45
g11707.t1.pdb,36,35,7,49,55,25,0
g21708.t1.pdb,49,47,14,188,82,18,11
g6423.t1.pdb,95,97,5,24,99,68,99
g18826.t1.pdb,85,90,16,259,99,26,88
g23309.t1.pdb,56,57,8,64,68,34,0
g8993.t1.pdb,41,41,3,12,50,35,0
g17624.t1.pdb,61,65,22,487,98,14,44
g9481.t1.pdb,87,88,8,71,98,51,94
g3112.t1.pdb,88,94,12,148,99,50,88
g18566.t2.pdb,80,83,11,129,96,46,82
g882.t1.pdb,32,26,15,232,81,13,6
g10432.t1.pdb,76,79,13,158,94,41,75
g17466.t1.pdb,90,94,10,91,99,53,95
g23192.t1.pdb,84,88,14,205,99,46,81
g9777.t1.pdb,93,96,8,65,99,53,97
g10069.t1.pdb,73,80,16,252,91,39,62
g10847.t1.pdb,77,86,21,431,98,11,76
g12018.t1.pdb,52,49,10,94,74,26,4
g5671.t1.pdb,59,65,21,442,89,17,44
g10798.t1.pdb,86,91,12,142,95,34,92
g21867.t1.pdb,36,33,8,69,59,19,0
g5901.t1.pdb,86,90,9,88,98,57,93
g9622.t1.pdb,91,94,10,103,99,29,95
g18683.t1.pdb,46,45,6,37,63,38,0
g10958.t1.pdb,66,71,15,235,86,36,52
g5090.t1.pdb,61,57,13,181,94,39,20
g3510.t1.pdb,68,69,12,135,86,38,49
g12912.t1.pdb,84,86,9,81,97,44,93
g16869.t1.pdb,75,80,18,339,98,29,62
g17908.t1.pdb,83,90,17,293,98,38,82
g16585.t1.pdb,93,95,7,56,99,53,97
g18870.t1.pdb,41,40,6,35,54,29,0
g1978.t1.pdb,45,46,8,68,60,29,0
g14689.t1.pdb,57,58,15,218,85,17,22
g14235.t1.pdb,34,29,14,182,79,12,4
g17079.t1.pdb,40,36,10,101,61,21,0
g8498.t1.pdb,85,88,11,132,98,41,87
g13497.t1.pdb,42,42,5,20,55,28,0
g1238.t1.pdb,75,81,18,334,97,18,69
g21567.t1.pdb,82,86,11,123,93,54,79
g13797.t1.pdb,85,90,13,175,99,38,86
g4746.t1.pdb,85,90,13,167,98,30,89
g7509.t1.pdb,77,83,18,320,98,26,76
g8419.t1.pdb,51,52,8,71,67,34,0
g8518.t1.pdb,78,85,18,320,98,39,76
g1206.t1.pdb,61,59,15,228,89,34,36
g17764.t1.pdb,84,91,16,244,99,40,78
g18941.t1.pdb,84,84,7,42,96,59,96
g1051.t1.pdb,78,80,14,194,98,45,66
g21355.t1.pdb,81,86,14,183,96,35,81
g2874.t1.pdb,95,98,8,57,99,50,98
g8710.t1.pdb,79,81,13,179,98,43,75
g10108.t1.pdb,28,27,5,25,41,8,0
g4620.t1.pdb,43,42,8,59,67,29,0
g15583.t1.pdb,47,47,6,31,58,21,0
g12437.t1.pdb,86,91,14,184,98,33,89
g5213.t1.pdb,57,52,12,152,79,42,27
g16906.t1.pdb,92,95,8,62,99,45,97
g18773.t1.pdb,50,50,6,31,63,33,0
g14949.t1.pdb,44,41,12,148,83,25,5
g15576.t1.pdb,81,87,18,314,99,42,74
g6101.t1.pdb,43,45,12,140,72,21,2
g5834.t1.pdb,83,88,15,229,98,44,78
g22405.t1.pdb,44,43,8,64,59,28,0
g2638.t1.pdb,84,84,11,132,98,43,86
g3354.t1.pdb,43,38,13,159,71,22,2
g11427.t2.pdb,78,81,12,136,96,46,71
g20263.t1.pdb,74,78,18,317,98,27,56
g6648.t1.pdb,41,42,10,92,64,15,0
g9712.t1.pdb,85,87,9,82,95,45,94
g19244.t1.pdb,75,79,15,223,95,32,66
g22699.t1.pdb,44,44,5,29,59,30,0
g6656.t1.pdb,59,58,10,104,83,40,16
g17030.t1.pdb,63,63,17,292,96,28,37
g4750.t1.pdb,81,88,18,330,98,27,83
g10273.t2.pdb,31,30,7,44,53,19,0
g5275.t1.pdb,90,93,9,82,99,54,95
g2513.t1.pdb,33,32,6,41,46,13,0
g23697.t1.pdb,69,65,14,204,97,47,35
g4462.t2.pdb,80,87,19,354,98,31,79
g16945.t1.pdb,67,71,16,241,86,28,51
g32.t1.pdb,36,35,4,15,46,20,0
g10390.t1.pdb,87,93,15,221,98,38,86
g6438.t1.pdb,86,91,14,199,99,25,90
g19967.t1.pdb,90,95,11,124,99,44,90
g14544.t1.pdb,69,68,13,177,97,37,45
g14562.t1.pdb,45,32,22,473,91,17,19
g12911.t1.pdb,40,40,5,29,53,27,0
g21233.t2.pdb,75,76,13,160,96,49,67
g4447.t1.pdb,64,65,8,67,90,41,29
g7021.t1.pdb,78,77,14,200,95,39,72
g4175.t1.pdb,87,92,12,148,99,34,89
g7832.t1.pdb,76,83,18,333,97,8,75
g17242.t1.pdb,66,71,16,267,90,28,54
g23932.t1.pdb,42,41,7,47,57,30,0
g8828.t1.pdb,83,90,17,275,98,18,77
g10212.t2.pdb,76,80,15,238,96,28,75
g15486.t1.pdb,74,77,13,178,95,47,57
g11495.t1.pdb,95,97,6,33,99,60,98
g20642.t1.pdb,54,48,20,388,87,29,33
g12638.t1.pdb,88,90,9,80,98,48,95
g1940.t1.pdb,33,32,5,28,47,24,0
g8365.t1.pdb,41,40,6,34,51,26,0
g2691.t1.pdb,71,72,16,254,95,42,53
g5899.t1.pdb,55,53,11,113,85,30,11
g15433.t1.pdb,82,88,16,253,99,35,83
g14141.t2.pdb,90,95,14,182,98,34,93
g7882.t1.pdb,41,31,20,382,84,16,17
g18467.t1.pdb,31,30,4,14,39,21,0
g20550.t1.pdb,34,33,6,34,47,21,0
g3985.t1.pdb,70,70,12,143,88,38,51
g2632.t1.pdb,42,41,11,130,87,17,3
g22450.t1.pdb,66,69,21,430,98,16,50
g11249.t2.pdb,88,90,8,64,97,63,95
g9753.t1.pdb,87,88,7,52,97,48,97
g4302.t1.pdb,47,46,7,49,65,29,0
g16846.t1.pdb,94,96,4,19,99,76,100
g541.t1.pdb,61,59,10,94,89,41,19
g19104.t1.pdb,73,81,17,301,91,34,71
g9839.t1.pdb,76,82,18,323,97,28,71
g1905.t1.pdb,76,83,18,315,97,27,71
g9850.t1.pdb,79,82,12,151,97,34,77
g13989.t2.pdb,64,67,19,359,90,30,48
