AF-A0A5K4FBQ5-F1-model_v4.pdb,91,94,8,64,98,56,96
AF-A0A3Q0KPR2-F1-model_v4.pdb,88,95,15,229,99,33,87
AF-G4LZX8-F1-model_v4.pdb,87,94,15,215,98,36,84
AF-A0A5K4F4C4-F1-model_v4.pdb,36,32,11,111,70,22,0
AF-A0A5K4F1Q2-F1-model_v4.pdb,43,30,23,529,93,20,20
AF-A0A3Q0KIJ3-F1-model_v4.pdb,72,77,18,323,96,37,61
AF-A0A5K4F4P7-F1-model_v4.pdb,53,49,17,299,88,27,24
AF-G4V9Q0-F1-model_v4.pdb,80,87,20,381,98,22,82
AF-A0A3Q0KCJ5-F1-model_v4.pdb,85,90,14,209,98,28,89
AF-G4V5T6-F1-model_v4.pdb,79,83,12,147,94,56,71
AF-A0A3Q0KTG1-F1-model_v4.pdb,46,31,25,617,95,21,27
AF-A0A3Q0KBQ3-F1-model_v4.pdb,75,83,18,327,97,37,61
AF-G4VMK4-F1-model_v4.pdb,85,93,19,354,99,27,82
AF-A0A3Q0KMH3-F1-model_v4.pdb,42,36,15,215,83,25,9
AF-G4LZZ6-F1-model_v4.pdb,96,97,5,23,98,53,99
AF-A0A5K4F289-F1-model_v4.pdb,50,39,27,729,97,17,34
AF-A0A3Q0KKC4-F1-model_v4.pdb,40,36,16,265,86,21,10
AF-G4VNP8-F1-model_v4.pdb,69,83,27,704,97,19,58
AF-A0A5K4FG21-F1-model_v4.pdb,81,92,21,444,98,27,77
AF-A0A3Q0KSJ8-F1-model_v4.pdb,85,95,20,411,99,29,81
AF-A0A3Q0KKG4-F1-model_v4.pdb,82,90,19,352,99,23,82
AF-A0A3Q0KFU4-F1-model_v4.pdb,52,46,25,602,96,22,32
AF-A0A5K4FEL0-F1-model_v4.pdb,75,87,22,470,96,31,64
AF-A0A5K4FCD7-F1-model_v4.pdb,61,63,28,767,98,25,46
AF-A0A5K4F4C0-F1-model_v4.pdb,50,46,19,368,84,24,23
AF-G4VBY2-F1-model_v4.pdb,89,95,17,291,99,29,89
AF-A0A5K4FCB2-F1-model_v4.pdb,43,36,21,461,99,22,12
AF-A0A5K4F5N3-F1-model_v4.pdb,71,79,17,295,91,35,59
AF-A0A5K4F0W2-F1-model_v4.pdb,44,29,25,606,96,18,21
AF-A0A3Q0KQ83-F1-model_v4.pdb,63,53,25,647,98,27,37
AF-A0A3Q0KU39-F1-model_v4.pdb,89,93,12,149,99,32,91
AF-G4LX65-F1-model_v4.pdb,88,91,10,102,97,45,90
AF-A0A3Q0KT91-F1-model_v4.pdb,80,84,15,226,97,44,72
AF-G4VK24-F1-model_v4.pdb,85,88,9,81,96,61,94
AF-C4QPK4-F1-model_v4.pdb,69,80,25,607,96,27,54
AF-A0A5K4EW40-F1-model_v4.pdb,95,98,9,79,99,49,96
AF-A0A5K4FAY4-F1-model_v4.pdb,70,76,19,366,92,26,59
AF-A0A3Q0KBI3-F1-model_v4.pdb,58,62,25,629,94,8,44
AF-G4VE51-F1-model_v4.pdb,94,98,12,149,99,32,95
