AF-A0A2A6CVN5-F1-model_v4.pdb,37,37,8,59,53,23,0
AF-A0A2A6BIC4-F1-model_v4.pdb,55,56,6,42,69,37,0
AF-A0A2A6BRG8-F1-model_v4.pdb,68,70,20,418,97,23,50
AF-A0A2A6B869-F1-model_v4.pdb,55,45,23,517,98,29,22
AF-A0A2A6BV35-F1-model_v4.pdb,34,34,5,25,46,24,0
AF-A0A2A6BMX8-F1-model_v4.pdb,62,52,19,367,94,39,33
AF-A0A2A6CGE2-F1-model_v4.pdb,36,36,9,80,52,19,0
AF-A0A2A6BPN7-F1-model_v4.pdb,48,49,7,49,66,30,0
AF-A0A2A6CF01-F1-model_v4.pdb,34,34,6,36,51,24,0
AF-A0A2A6CW19-F1-model_v4.pdb,51,45,19,369,96,28,19
AF-A0A2A6B897-F1-model_v4.pdb,70,86,28,801,98,22,60
AF-A0A2A6BMQ8-F1-model_v4.pdb,82,90,16,268,98,44,74
AF-A0A2A6B6V5-F1-model_v4.pdb,37,37,7,49,50,21,0
AF-A0A2A6BAM9-F1-model_v4.pdb,43,41,11,126,84,27,5
AF-A0A2A6BLG4-F1-model_v4.pdb,49,39,22,504,98,23,18
AF-A0A2A6D153-F1-model_v4.pdb,32,32,5,21,45,23,0
AF-A0A2A6BI03-F1-model_v4.pdb,74,76,16,250,98,40,58
AF-A0A2A6B569-F1-model_v4.pdb,67,78,24,583,97,22,59
AF-A0A2A6CHN2-F1-model_v4.pdb,40,38,8,64,68,25,0
AF-A0A2A6B8J3-F1-model_v4.pdb,35,34,5,23,44,22,0
AF-A0A2A6B2J1-F1-model_v4.pdb,39,39,3,11,46,27,0
AF-A0A2A6CCB8-F1-model_v4.pdb,59,61,12,143,80,32,22
AF-A0A2A6BQ88-F1-model_v4.pdb,34,33,6,33,49,22,0
AF-A0A2A6BLZ0-F1-model_v4.pdb,70,71,9,76,87,49,59
AF-A0A454XUM3-F1-model_v4.pdb,48,42,18,330,94,22,16
AF-A0A2A6CVY9-F1-model_v4.pdb,51,52,4,14,61,43,0
AF-A0A2A6CTR2-F1-model_v4.pdb,57,55,28,763,96,20,43
AF-A0A2A6BPW5-F1-model_v4.pdb,63,59,26,696,96,24,48
AF-A0A2A6CLV9-F1-model_v4.pdb,43,43,6,40,56,25,0
AF-A0A2A6C8Z8-F1-model_v4.pdb,82,95,20,400,99,44,68
AF-A0A2A6BRB0-F1-model_v4.pdb,50,45,19,360,94,19,18
AF-A0A2A6BY85-F1-model_v4.pdb,75,82,16,253,93,29,73
AF-A0A2A6BLY9-F1-model_v4.pdb,71,88,29,816,99,22,57
AF-A0A2A6CDM8-F1-model_v4.pdb,55,52,10,103,79,35,11
AF-A0A2A6D163-F1-model_v4.pdb,44,42,9,87,65,21,0
AF-A0A2A6CWW9-F1-model_v4.pdb,53,51,8,57,66,34,0
AF-A0A2A6CK50-F1-model_v4.pdb,79,84,16,248,97,27,81
AF-A0A2A6BEG7-F1-model_v4.pdb,57,59,15,215,83,27,28
AF-A0A2A6C0C4-F1-model_v4.pdb,55,56,5,29,67,41,0
AF-A0A2A6BBY6-F1-model_v4.pdb,69,68,16,252,91,35,48
AF-A0A2A6CTY4-F1-model_v4.pdb,76,80,13,166,94,41,73
AF-A0A2A6C4C5-F1-model_v4.pdb,60,53,17,299,94,41,26
AF-A0A454XN37-F1-model_v4.pdb,63,65,16,262,90,29,36
AF-A0A2A6CBX0-F1-model_v4.pdb,35,35,5,24,45,26,0
AF-A0A2A6C2N0-F1-model_v4.pdb,46,46,7,43,69,34,0
AF-A0A2A6CHU5-F1-model_v4.pdb,89,93,14,191,99,27,92
AF-A0A2A6BYX5-F1-model_v4.pdb,67,66,23,532,97,26,47
AF-A0A2A6BK94-F1-model_v4.pdb,72,83,25,601,99,29,58
AF-A0A2A6CTJ7-F1-model_v4.pdb,90,97,15,222,99,49,86
AF-A0A2A6B8L1-F1-model_v4.pdb,53,52,8,62,72,40,4
AF-A0A2A6BLI9-F1-model_v4.pdb,48,37,26,661,98,19,26
AF-A0A2A6B5G0-F1-model_v4.pdb,72,84,24,600,99,21,66
AF-A0A2A6CH82-F1-model_v4.pdb,72,80,15,229,89,32,66
AF-A0A2A6BT61-F1-model_v4.pdb,37,36,7,53,53,20,0
AF-A0A2A6CA38-F1-model_v4.pdb,56,51,14,187,86,35,21
AF-A0A2A6CT86-F1-model_v4.pdb,67,79,27,711,98,22,60
AF-A0A2A6CDL2-F1-model_v4.pdb,61,56,21,428,96,24,39
AF-A0A2A6B2Z4-F1-model_v4.pdb,48,48,8,62,63,31,0
